Sample,Group,Plasmid,Size_Category
WW_ERR2592329,WW,NZ_CP069372.1,Small-plasmid
WW_ERR2592329,WW,NZ_CP049912.1,Small-plasmid
WW_ERR2592329,WW,NZ_CP080763.1,Small-plasmid
WW_ERR4678576,WW,NZ_AP026896.1,Large-plasmid
WW_ERR4678576,WW,NZ_CP069303.1,Large-plasmid
WW_ERR4678576,WW,NZ_LR743510.1,Large-plasmid
WW_ERR4678576,WW,CP063167.1,Large-plasmid
WW_ERR4678576,WW,NZ_CP115947.1,Large-plasmid
WW_ERR4678576,WW,CP025986.1,Large-plasmid
WW_ERR4678576,WW,NZ_CP138516.1,Large-plasmid
WW_ERR4678576,WW,NZ_CP138514.1,Large-plasmid
WW_ERR4678576,WW,NZ_CP029356.1,Large-plasmid
WW_ERR4678576,WW,NZ_CP155749.1,Large-plasmid
WW_ERR4678576,WW,NZ_CP023549.1,Large-plasmid
WW_ERR4678576,WW,NZ_CP088082.1,Large-plasmid
WW_ERR4678576,WW,NZ_CP047170.1,Large-plasmid
WW_ERR4678576,WW,CP099607.1,Large-plasmid
WW_ERR4678576,WW,NZ_CP029358.1,Large-plasmid
WW_ERR4678576,WW,NZ_CP076395.1,Large-plasmid
WW_ERR4678576,WW,NZ_CP083452.1,Large-plasmid
WW_ERR4678576,WW,NZ_CP046503.1,Large-plasmid
WW_ERR4678576,WW,NZ_CP029986.1,Large-plasmid
WW_ERR4678576,WW,NZ_CP011515.1,Large-plasmid
WW_ERR4678576,WW,NZ_CP009453.1,Large-plasmid
WW_ERR4678576,WW,NZ_CP117194.1,Large-plasmid
WW_ERR4678576,WW,CP099606.1,Large-plasmid
WW_ERR4678576,WW,NZ_CP149519.1,Small-plasmid
WW_ERR4678576,WW,NZ_CP035709.1,Small-plasmid
WW_ERR4678576,WW,NZ_CP069372.1,Small-plasmid
WW_ERR4678576,WW,NZ_CP049912.1,Small-plasmid
WW_ERR4678576,WW,NZ_CP080763.1,Small-plasmid
WW_ERR4678576,WW,NC_009037.1,Small-plasmid
WW_ERR9855099,WW,NZ_AP026896.1,Large-plasmid
WW_ERR9855099,WW,NZ_CP069303.1,Large-plasmid
WW_ERR9855099,WW,NZ_CP088082.1,Large-plasmid
WW_ERR9855099,WW,CP099607.1,Large-plasmid
WW_ERR9855099,WW,NZ_CP029358.1,Large-plasmid
WW_ERR9855099,WW,NZ_CP076395.1,Large-plasmid
WW_ERR9855099,WW,NZ_CP083452.1,Large-plasmid
WW_ERR9855099,WW,NZ_CP011515.1,Large-plasmid
WW_ERR9855099,WW,NZ_CP117194.1,Large-plasmid
WW_ERR9855099,WW,CP099606.1,Large-plasmid
WW_ERR9855099,WW,NZ_CP035709.1,Small-plasmid
WW_ERR9855099,WW,NZ_CP069372.1,Small-plasmid
WW_ERR9855099,WW,NZ_CP049912.1,Small-plasmid
WW_ERR9855099,WW,NZ_CP080763.1,Small-plasmid
WW_SRR11088392,WW,NZ_AP026896.1,Large-plasmid
WW_SRR11088392,WW,NZ_CP069303.1,Large-plasmid
WW_SRR11088392,WW,CP090106.1,Large-plasmid
WW_SRR11088392,WW,CP063167.1,Large-plasmid
WW_SRR11088392,WW,NZ_CP115947.1,Large-plasmid
WW_SRR11088392,WW,CP025986.1,Large-plasmid
WW_SRR11088392,WW,NZ_CP115942.1,Large-plasmid
WW_SRR11088392,WW,NZ_CP138516.1,Large-plasmid
WW_SRR11088392,WW,NZ_CP138514.1,Large-plasmid
WW_SRR11088392,WW,NZ_CP029356.1,Large-plasmid
WW_SRR11088392,WW,NZ_CP155749.1,Large-plasmid
WW_SRR11088392,WW,NZ_CP023549.1,Large-plasmid
WW_SRR11088392,WW,NZ_CP088082.1,Large-plasmid
WW_SRR11088392,WW,NZ_CP047170.1,Large-plasmid
WW_SRR11088392,WW,CP099607.1,Large-plasmid
WW_SRR11088392,WW,NZ_CP029358.1,Large-plasmid
WW_SRR11088392,WW,NZ_CP076395.1,Large-plasmid
WW_SRR11088392,WW,NZ_CP083452.1,Large-plasmid
WW_SRR11088392,WW,NZ_CP046503.1,Large-plasmid
WW_SRR11088392,WW,NZ_CP029986.1,Large-plasmid
WW_SRR11088392,WW,NZ_CP011515.1,Large-plasmid
WW_SRR11088392,WW,NZ_CP009453.1,Large-plasmid
WW_SRR11088392,WW,NZ_CP117194.1,Large-plasmid
WW_SRR11088392,WW,CP099606.1,Large-plasmid
WW_SRR11088392,WW,NZ_CP035709.1,Small-plasmid
WW_SRR11088392,WW,NZ_CP069372.1,Small-plasmid
WW_SRR11088392,WW,NZ_CP049912.1,Small-plasmid
WW_SRR11088392,WW,NZ_CP080763.1,Small-plasmid
WW_SRR11088392,WW,NC_009037.1,Small-plasmid
WW_SRR12396704,WW,NZ_AP026896.1,Large-plasmid
WW_SRR12396704,WW,NZ_CP049912.1,Small-plasmid
WW_SRR12396704,WW,NZ_CP080763.1,Small-plasmid
WW_SRR22752015,WW,NZ_AP026896.1,Large-plasmid
WW_SRR22752015,WW,NZ_CP083452.1,Large-plasmid
WW_SRR22752015,WW,NZ_CP117194.1,Large-plasmid
WW_SRR22752015,WW,NZ_CP069372.1,Small-plasmid
WW_SRR22752015,WW,NZ_CP049912.1,Small-plasmid
WW_SRR22752015,WW,NZ_CP080763.1,Small-plasmid
WW_SRR22752015,WW,NC_009037.1,Small-plasmid
WW_SRR8208343,WW,NZ_AP026896.1,Large-plasmid
WW_SRR8208343,WW,NZ_CP069303.1,Large-plasmid
WW_SRR8208343,WW,NZ_CP076395.1,Large-plasmid
WW_SRR8208343,WW,NZ_CP083452.1,Large-plasmid
WW_SRR8208343,WW,NZ_CP046503.1,Large-plasmid
WW_SRR8208343,WW,NZ_CP117194.1,Large-plasmid
WW_SRR8208343,WW,NZ_CP035709.1,Small-plasmid
WW_SRR8208343,WW,NZ_CP069372.1,Small-plasmid
WW_SRR8208343,WW,NZ_CP049912.1,Small-plasmid
WW_SRR8208343,WW,NZ_CP080763.1,Small-plasmid
WW_SRR8208343,WW,NC_009037.1,Small-plasmid
WW_SRR8648016,WW,NZ_AP026896.1,Large-plasmid
WW_SRR8648016,WW,NZ_CP029356.1,Large-plasmid
WW_SRR8648016,WW,NZ_CP088082.1,Large-plasmid
WW_SRR8648016,WW,CP099607.1,Large-plasmid
WW_SRR8648016,WW,NZ_CP029358.1,Large-plasmid
WW_SRR8648016,WW,NZ_CP011515.1,Large-plasmid
WW_SRR8648016,WW,CP099606.1,Large-plasmid
WW_SRR8648016,WW,NZ_CP069372.1,Small-plasmid
WW_SRR8648016,WW,NZ_CP049912.1,Small-plasmid
WW_SRR8648016,WW,NZ_CP080763.1,Small-plasmid
