Plasmid_ID	Length	ORF_Count	ARG_Count
NZ_CP020542.1	9968	16	0
NZ_CP036120.1	11818	14	0
NZ_CP044461.1	14098	20	0
NC_020384.1	285459	276	0
CP057623.1	97938	111	0
NZ_CP079158.1	144526	133	0
NZ_CP066787.1	166348	182	0
NZ_CP069981.1	34441	49	0
CP009912.1	54418	64	0
NZ_CP072266.1	47683	60	0
CP046409.1	7706	11	0
CP056523.1	4106	6	0
NZ_KX008967.1	88976	106	4
NZ_CP026851.1	150426	172	0
CP019195.1	341263	384	0
NZ_CP024656.1	102005	119	0
NZ_CP077374.1	8723	13	0
NZ_AP022415.1	6423	7	1
NZ_CP050269.1	30986	29	0
NZ_CP063298.1	4234	3	0
HG796262.1	7172	6	0
NC_008712.1	328237	289	0
HG796807.1	3339	4	0
MW363524.1	2113	2	0
NC_022740.1	46253	58	0
CP057974.1	94695	99	0
NZ_CP032530.1	131764	146	0
CP074624.1	150062	154	0
NZ_CP066661.1	62212	68	0
NZ_CP025540.1	66874	89	0
NZ_CP071629.1	370484	367	0
NZ_CP045353.1	4831	7	0
NZ_CP056725.1	4783	7	0
NZ_CP049103.1	63295	86	1
CP064320.1	26136	31	0
NZ_CP034820.1	188527	196	3
NZ_CP011159.1	40581	47	0
NZ_CP018880.1	9598	11	0
NZ_CP055885.1	43121	59	0
NZ_CP036024.1	52582	86	0
NZ_MH909331.1	306267	336	9
NZ_CP055155.1	116703	116	0
NC_011754.1	119594	148	0
CP030614.1	43966	46	1
NZ_CP020900.1	1144005	1061	0
NZ_CP021019.2	51142	59	0
NC_019106.1	77331	92	0
NZ_MZ156802.1	342942	405	18
NZ_CP069469.1	9269	10	0
NZ_CP050048.1	105583	106	0
NZ_CP072907.1	100944	119	0
NZ_CP048879.1	141078	159	0
NZ_MK249856.1	61881	81	0
NZ_CP080358.1	111238	118	0
NZ_CP050374.1	193462	240	9
NZ_CP018253.1	95229	92	0
NC_003267.1	101965	88	0
NZ_LR890383.1	3223	4	0
NZ_CP027184.1	60699	73	3
NZ_CP043190.1	165649	200	7
NZ_CP042296.1	167256	181	0
NZ_CP078035.1	103816	104	0
CP033560.1	8080	12	3
NZ_MG557853.1	40590	52	0
NZ_CP078098.1	75538	93	0
NZ_CP047193.1	219800	236	0
CP051810.1	93177	90	0
NZ_LT821324.1	7494	8	0
CP056650.1	86191	96	1
CP012488.1	13955	15	0
NC_009926.1	374161	320	0
CP013823.1	51601	59	0
NZ_AP022627.1	3133	5	0
NZ_AP022328.1	67915	80	0
NZ_KY913897.1	239374	260	6
LR962106.1	5121	5	0
NZ_CP034478.1	82291	92	0
NZ_LT960791.1	33463	32	0
NC_002610.1	5258	6	0
NZ_MG053108.1	191541	238	6
NZ_CP056187.1	73037	80	0
NZ_CP026020.1	41874	54	1
NZ_CP016291.1	265603	266	0
HG796404.1	2482	2	0
NC_019699.1	370830	352	0
NZ_CP020988.2	57070	64	0
NZ_CP044273.1	1741	3	2
NC_015560.1	17897	20	0
LC521851.1	116295	151	6
NZ_CP039058.1	50585	52	0
NZ_MK992500.1	43523	50	2
NZ_CP015816.1	95910	94	0
NZ_CP026535.1	18288	21	0
CP073594.1	92951	93	0
NZ_CP073736.1	12406	15	0
NZ_CP038970.1	35101	40	0
CP019976.1	32787	46	0
NZ_CP071619.1	622307	581	0
NC_019555.1	176574	157	0
NZ_CP065708.1	27411	27	0
NZ_CP014009.1	224263	248	0
NZ_CP033252.1	110417	117	0
NZ_CP056146.1	165251	170	0
CP057606.1	89809	90	0
NZ_AP021916.1	87852	97	0
NC_020538.1	23759	27	1
NZ_CP016407.1	323122	328	7
NZ_MN657142.1	8041	9	0
NZ_CP013209.1	2943	4	0
NZ_CP028469.1	34104	39	0
NZ_CP075659.1	3137	4	0
NZ_AP023229.1	32452	47	0
NC_010857.1	4896	7	0
NZ_CP038417.1	89216	101	0
NZ_AP019699.1	22364	26	0
NC_013383.1	24711	26	1
NZ_CP033036.1	376009	375	0
LR962455.1	93254	99	0
NZ_CP049809.1	11248	14	0
NZ_AP022477.1	4480	5	0
NC_011082.1	3373	5	0
NZ_CP017303.1	393079	450	0
NZ_CP011513.1	213282	240	0
NZ_CP036373.1	108291	117	0
NZ_CP035969.1	397298	400	0
NC_013719.1	3910	3	0
NZ_CP043665.1	5631	6	0
MT809702.1	23548	23	2
NZ_LR890607.1	126618	145	2
NZ_CP057071.1	2475	3	0
NZ_CP010596.1	261822	235	0
NZ_CP041427.1	67518	90	0
NZ_CP038955.1	39811	53	0
NC_002144.1	5919	11	0
NZ_CP029200.1	57604	58	0
NZ_CP013337.1	5838	7	0
NZ_AP022426.1	3652	4	0
NZ_CP035833.1	98355	104	0
NZ_CP015859.1	93544	104	0
NC_010626.1	2908	4	0
CP073295.1	5596	9	0
NZ_CP065252.1	22170	22	0
NZ_CP014792.1	58207	60	0
NZ_CP023161.1	47414	49	0
NZ_AP019688.1	185311	230	10
CP077787.1	46534	48	0
NC_019895.1	32131	33	0
NZ_CP020426.2	131326	180	0
NZ_CP074055.1	26512	29	0
NZ_CP061054.1	6103	7	0
GQ353340.1	4029	5	0
NZ_LC589061.1	31970	34	3
NZ_CP024541.1	3825	6	0
NZ_CP034961.1	2101	3	0
NZ_CP051347.1	146811	148	1
NZ_MN334219.1	108065	119	2
NZ_CP012292.1	39697	46	0
NZ_CP070867.1	149408	169	0
NZ_CP028682.1	93180	90	0
NZ_CP040591.1	25531	32	0
CP051809.1	6078	8	0
NZ_CP031822.1	3302	1	0
NZ_CP013665.1	33703	43	0
NZ_MK295818.1	129614	146	7
NZ_CP024324.1	23955	26	0
NZ_LC511660.1	33309	42	0
NZ_CP013617.1	2362	3	0
CP019351.1	10614	12	0
NZ_CP050155.1	130570	151	4
NZ_KR905388.1	79176	94	1
NZ_CP051412.1	232583	236	1
NZ_CP027038.1	155161	187	10
CP049514.1	35680	43	0
HQ724512.1	28699	36	0
NZ_LR890336.1	98796	109	0
NZ_CP067257.1	65548	74	6
NZ_CP025434.1	20283	18	0
NZ_MF150120.1	46494	64	0
NZ_CP024971.1	28251	30	0
NZ_CP046026.1	104812	124	5
NZ_AP022359.1	146404	172	7
NZ_CP056376.1	5783	7	0
CP030413.1	20403	25	1
NZ_CP036066.1	9480	11	0
NZ_CP049952.1	37432	42	4
NZ_CP015497.1	45858	49	0
NZ_CP027498.1	207001	235	1
